
REQ-001	Email Requirement Initial requirement placeholder for email functionality; specific details to be defined by the requirements team.
REQ-095	Email Requirement 95	Archiving, Retention, Discovery  Ability for the user to manually archive to server  from their client.
REQ-096	Email Requirement 96	Archiving, Retention, Discovery  Ability for the agency admin to electronically reda ct information from arc hival storage.
REQ-097	Email Requirement 97	Archiving, Retention, Discovery  Ability for the agency admin to digitally certify s earch results.
REQ-098	Email Requirement 98	Archiving, Retention, Discovery  Ability for the agency admin to catalog responsive  e-mail (by case)  s o that e-mail can be electronically certified as c omplete to fulfill  the production.
REQ-099	Email Requirement 99	Archiving, Retention, Discovery  Ability for the agency admin to demonstrate due dil igence and maintain markings for privileged and non-responsive  search res ults .
REQ-100	Email Requirement 100	Archiving, Retention, Discovery  Ability for the agency admin to provide a full audi t trail of discovery  and review.
REQ-101	Email Requirement 101	Disaster Recovery  Ability for the data center admin to do real-time r eplication to alternate site.
REQ-102	Email Requirement 102	Disaster Recovery  Ability for the data center admin to do near-time r eplication to alternate site.    Enterprise E-mail    Version:           1.5  Customer (Functional) Requirements   Created on 07/ 23/2009     9/17/2009  AEIT  11
REQ-103	Email Requirement 103	Disaster Recovery  Ability for the data center admin to fail-over mail  system and c lients  to alternate site.
REQ-104	Email Requirement 104	Security, Anti- Virus, Filtering  Ability for the data center admin to retrieve quara tined messages.
REQ-105	Email Requirement 105	Security, Anti- Virus, Filtering  Ability for the data center admin to add digital si gnatures  to e-mail.
REQ-106	Email Requirement 106	Remote Access, Mobile Messaging  Ability for the user to access e-mail archive.
REQ-107	Email Requirement 107	Remote Access, Mobile Messaging  Ability for the user to use wireless service with G IS.
REQ-108	Email Requirement 108	Additional E-mail  Services  Ability for the user to provide fax service integra ted into e-mail.
REQ-109	Email Requirement 109	Additional E-mail  Services  Ability for the user to integrate telephone messagi g (VOIP) into e- mail and vice/versa.
REQ-110	Email Requirement 110	Additional E-mail  Services  Ability for the user to provide List Server option  for internal and ex ternal publishing of information (report subscrip tions).
REQ-111	Email Requirement 111	Additional E-mail  Services  Ability for the agency admin to integrate directory  services with other c omplimentary external systems for a unified  client ex perience.
